节点详细信息
节点ID,层级,原始ID,内容长度,子节点,内容
layer0_node0,0,0,103,,"例29 设 f(x) 是定义在 ℝ 上的函数，若 f(0)=2008，且对任意 x∈ℝ，满足
f(x+2)−f(x)≤3·2^{x},
f(x+6)−f(x)≥63·2^{x}。
求 f(2008) 的值。"
layer0_node1,0,1,79,,例16 设函数 f(x)=x^{2}+ax+b\cos x，且满足：对于全部实数 x，f(x)=0 当且仅当 f(f(x))=0。求参数 a、b 的所有取值。
layer0_node10,0,10,82,,"例10 已知 \alpha\in[0,\tfrac{\pi}{2}]，求函数 y=\sqrt{5}-4\sin\alpha+\sin\alpha 的最大值和最小值。"
layer0_node11,0,11,97,,"例13 设函数 f:ℝ→ℝ 满足 f(\cot x)=\cos 2x+\sin 2x (0<x<\pi)。又定义 g(x)=f(x)(1-x)，x∈[-1,1]。求 g(x) 的最大值和最小值。"
layer0_node12,0,12,52,,例17 求函数 y = √(2x^{2} − 3x + 1) + √(x^{2} − 2x) 的最小值。
layer0_node13,0,13,93,,例7 求 y = (3x − 1)(√((3x − 1)^{2} + 4) + 1) + (2x − 3)(√((2x − 3)^{2} + 4) + 1) 的图象与 x 轴的交点坐标。
layer0_node14,0,14,101,,例5  对任意 k∈N⁺，设 f(k) 为 k 的各位数字之和的平方；对 n≥2，定义递归函数 f^{(n)}(k)=f(f^{(n−1)}(k))。求 f^{(2005)}(2^{2002}) 的值。
layer0_node2,0,2,99,,"例17 设函数 f(x)=\dfrac{ax^{2}+bx+c}{cx^{2}+dx+a}\,(a,b,c,d\ne0)，且 f(19)=19，f(97)=97。求 f(x) 的值域之外唯一的实数。"
layer0_node3,0,3,126,,例4 求函数图象与 x 轴的交点坐标：\n y = (3x - 1)\left(\sqrt{(3x - 1)^{2} + 4} + 1\right) + (2x - 3)\left(\sqrt{(2x - 3)^{2} + 4} + 1\right)。
layer0_node4,0,4,40,,例12 求函数 g(x)=|\sin x| + |\cos x| 的最小正周期。
layer0_node5,0,5,121,,"例7 函数 f(x)=\log_{x}(x^{2}-2x-3) 的单调递增区间是（ ）。\nA．(-\infty,-1)  B．(-\infty,-1)\cup(3,+\infty)  C．(1,+\infty)  D．(3,+\infty)"
layer0_node6,0,6,98,,例9 若函数 g(x) 的图象与函数 f(x)=\dfrac{1-x^{2}}{1+x^{2}} 的图象关于直线 y = x 对称，求 g\left(\dfrac{3}{5}\right) 的值。
layer0_node7,0,7,71,,"例13 求函数 f(x)=\dfrac{x-1}{x^{2}-2x+5}\,(\tfrac{3}{2}\le x\le2) 的最大值和最小值。"
layer0_node8,0,8,113,,"例14 设 x, y\in\mathbb{R}^{+}，x+y=c，其中常数 c\in(0,2]。求 u=\left(x+\dfrac{1}{x}\right)\left(y+\dfrac{1}{y}\right) 的最小值。"
layer0_node9,0,9,183,,"例9 设函数 f:(0,1)\to\mathbb{R} 定义为\n f(x)=x，\text{当 }x\text{ 为无理数时};\n f(x)=\dfrac{p+1}{q},\text{当 }x=\dfrac{p}{q},(p,q)=1,0<p<q\text{ 时}。\n 求 f(x) 在区间 (\tfrac{7}{8},\tfrac{8}{9}) 上的最大值。"
layer1_cluster0,1,cluster_1_0,2,"layer0_node5, layer0_node7",函数
layer1_cluster1,1,cluster_1_1,2,"layer0_node3, layer0_node4, layer0_node6, layer0_node8, layer0_node10, layer0_node11, layer0_node12, layer0_node13",函数
layer1_cluster2,1,cluster_1_2,2,"layer0_node0, layer0_node1, layer0_node2, layer0_node9, layer0_node14",函数

层次统计
层级,节点数,平均内容长度,总内容长度
0,15,97.2,1458
1,3,2.0,6
