id,problem,answer,truth,final,
1,"$(1+5 \mathrm{i}) \mathrm{i}$ 的虚部为
A．-1
B． 0
C． 1
D． 6","""""",C,不一致,
2,"设全集 $U=\{x \mid x$ 是小于 9 的正整数 $\}$ ，集合 $A=\{1,3,5\}$ ，则 $\complement_{U} A$ 中元素个数为
A． 2
B． 3
C． 5
D． 8",C,C,一致,
3,"若双曲线 $C$ 的虚轴长为实轴长的 $\sqrt{7}$ 倍，则 $C$ 的离心率为
A．$\sqrt{2}$
B． 2
C．$\sqrt{7}$
D． $2 \sqrt{2}$",D,D,一致,
4,"若点 $(a, 0)(a>0)$ 是函数 $y=2 \tan \left(x-\frac{\pi}{3}\right)$ 的图象的一个对称中心，则 $a$ 的最小值为
A．$\frac{\pi}{4}$
B．$\frac{\pi}{2}$
C．$\frac{\pi}{3}$
D．$\frac{4 \pi}{3}$",C,C,一致,
5,"设 $f(x)$ 是定义在 $R$ 上且周期为 2 的偶函数，当 $2 \leqslant x \leqslant 3$ 时，$f(x)=5-2 x$ ，则 $f\left(-\frac{3}{4}\right)=$
A．$-\frac{1}{2}$
B．$-\frac{1}{4}$
C．$\frac{1}{4}$
D．$\frac{1}{2}$",A,A,一致,
6,"若圆 $x^{2}+(y+2)^{2}=r^{2}(r>0)$ 上到直线 $y=\sqrt{3} x+2$ 的距离为 1 的点有且仅有 2 个，则 $r$ 的取值范围是

A．$(0,1)$
B．$(1,3)$
C．$(3,+\infty)$
D．$(0,+\infty)$",B,B,一致,
7,"若实数 $x, y, z$ 满足 $2+\log _{2} x=3+\log _{3} y=5+\log _{5} z$ ，则 $x, y, z$ 的大小关系不可能是 
A．$x>y>z$
B．$x>z>y$
C．$y>x>z$
D．$y>z>x$",B,B,一致,
8,若直线 $y=2 x+5$ 是曲线 $y=\mathrm{e}^{x}+x+a$ 的切线，则 $a=$ $\qquad$。,$\boxed{4}$,4,一致,
9,若一个等比数列的前 4 项和为 4 ，前 8 项和为 68 ，则该等比数列的公比为 $\qquad$。,-2或2,2，-2,一致,
10,一个箱子里有 5 个相同的球，分别以 $1 \sim 5$ 标号，从中有放回地取三次，记至少取出一次的球的个数 $X$ ，则数学期望 $E(X)=$ $\qquad$。,2.44,61/25,一致,
