id,question,answer,type
1,"设 $A = \{a, b, c\}$，$B = \{x, y, z\}$，判断以下三种对应是否构成映射：","- $f_1: a \mapsto x,\ b \mapsto y,\ c \mapsto z$ → 是映射。
- $f_2: a \mapsto x,\ b \mapsto y,\ c \mapsto z$ → 是映射。
- $f_3: a \mapsto x,\ b \mapsto y,\ c \mapsto x,\ c \mapsto z$ → 不是映射（因 $c$ 对应多个元素）。",函数与函数方程
2,"设 $A = \{a_1, a_2, a_3\}$，$B = \{-1, 0, 1\}$。

(1) 从 $A$ 到 $B$ 的不同映射有多少个？

(2) 若要求 $f(a_1) > f(a_2) > f(a_3)$，求满足条件的映射数量。","(1) 每个元素有3种选择，共 $3^3 = 27$ 个。

(2) 可能满足取值组合如下：
- 若 $f(a_1)=0$，则 $f(a_2)=f(a_3)=-1$
- 若 $f(a_1)=1$，则 $f(a_2), f(a_3)$ 可为 $(0,-1)$ 或 $(-1,0)$ 或 $(-1,-1)$

总计：4 种符合条件的映射。",函数与函数方程
3,"设 $A = \{a_1, a_2, a_3\}$，$B = \{b_1, b_2, b_3, b_4\}$。

(1) 写出一个单射 $f: A \to B$，并计算单射总数。

(2) 写出一个非单射的映射，并计算此类映射总数。

(3) 是否存在满射？","(1) 例如：$f(a_1) = b_1,\ f(a_2) = b_2,\ f(a_3) = b_3$。
单射数为 $P_4^3 = 4 \times 3 \times 2 = 24$。

(2) 例如：$f(a_1) = b_1,\ f(a_2) = b_1,\ f(a_3) = b_2$。
总数为 $4^3 - P_4^3 = 64 - 24 = 40$。

(3) 不存在，因为 $|A| = 3 < 4 = |B|$，无法覆盖所有 $B$ 中元素。

结论：若存在从 $A$ 到 $B$ 的满射，则必有 $|A| \geq |B|$。",函数与函数方程
4,"设 $N^+$ 为正整数集，定义映射 $p, q: N^+ \to N^+$ 如下：

$$
p(n) =
\begin{cases}
2, & n=1 \\
3, & n=2 \\
4, & n=3 \\
1, & n=4 \\
n, & n \geq 5
\end{cases}
\quad
q(n) =
\begin{cases}
3, & n=1 \\
4, & n=2 \\
2, & n=3 \\
1, & n=4 \\
n, & n \geq 5
\end{cases}
$$

令 $f: N^+ \to N^+$ 满足 $f(f(n)) = p(n) + 2$。

(1) 给出这样的 $f$ 的例子。","构造如下表所示的映射关系：

| $n$ | $f(n)$ |
| --- | ------ |
|     |        |",函数与函数方程
5,验证：$f(f(n)) = p(n) + 2$ 成立。,"(2) 证明：不存在任何 $f$ 使得对所有 $n \in N^+$，都有 $f(f(n)) = q(n) + 2$。

**反证法**：假设存在这样的 $f$，则：
$$
f(f(1)) = q(1) + 2 = 5,\quad f(f(5)) = q(5) + 2 = 7,\quad \dots
$$
得到链式关系：
$$
1 \xrightarrow{f} a \xrightarrow{f} 5 \xrightarrow{f} b \xrightarrow{f} 7 \xrightarrow{f} \cdots
$$
若 $f$ 是单射，则 $f(3) = a,\ f(4) = b$ 必须互异，但通过推导得出矛盾（如 $a = b + 2$ 且 $b = a + 2$），故不可能存在。",函数与函数方程
6,"给定正整数 $n$，求满足条件：
$$
0 < a < b < c < d < n
$$
的四元有序整数组 $(a, b, c, d)$ 的个数。","构造映射：
$$
f(a, b, c, d) = (a, b+1, c+2, d+3)
$$
该映射是从集合：
$$
A = \{(a, b, c, d) \mid 0 < a < b < c < d < n\}
$$
到集合：
$$
B = \{(a', b', c', d') \mid 0 < a' < b' < c' < d' < n+3\}
$$
的一一对应。由于 $|A| = |B|$，而 $|B|$ 是从 $\{0, 1, ..., n+3\}$ 中取4个不同元素的组合数，即：
$$
|B| = \binom{n+3}{4}
$$
所以答案是：
$$
|A| = \binom{n+3}{4}
$$",函数与函数方程
7,命题委员会有9名教授，要求至少6人到场才能打开保险箱。,"设：
- $S$：所有5人小组的集合，$\left|S\right| = \binom{9}{5} = 126$
- $L$：保险箱上所安的锁的集合

定义映射 $f: S \to L$，使得每个5人组对应一把无法被他们打开的锁。
此映射是双射（单射且满射），因此需安装：
$$
|L| = \left|S\right| = 126 \text{ 把锁}
$$

每把锁应配4把钥匙，分发给不在该5人组中的4位教授，共需：
$$
126 \times 4 = 504 \text{ 把钥匙}
$$",函数与函数方程
8,"设 $S_n = \{1, 2, ..., n\}$，子集容量为其元素和。求证：$S_n$ 的奇子集与偶子集个数相等。","定义映射 $f$：
$$
f(A) =
\begin{cases}
A \setminus \{1\}, & \text{若 } 1 \in A \\
A \cup \{1\}, & \text{若 } 1 \notin A
\end{cases}
$$
此映射将奇子集变为偶子集，反之亦然，且为一一对应。
故奇子集个数等于偶子集个数，均为：
$$
\frac{2^n}{2} = 2^{n-1}
$$",函数与函数方程
9,当 $n \geq 3$ 时，奇子集容量总和等于偶子集容量总和。,"设：
- $a_n$：所有奇子集的容量之和
- $b_n$：所有偶子集的容量之和

考虑递推关系（基于是否含元素 $n$）：
$$
a_n = a_{n-1} + b_{n-1} + 2^{n-1}, \quad b_n = b_{n-1} + a_{n-1} + 2^{n-1}
$$
当 $n$ 为奇数时，$a_{n-1} = b_{n-1}$ ⇒ $a_n = b_n$；
同理当 $n$ 为偶数也成立。
综上，对任意 $n \geq 3$，都有：
$$
a_n = b_n
$$",函数与函数方程
10,求 $S_n$ 所有奇子集的容量之和。,"由(2)知 $a_n = b_n$，又全体子集容量之和为：
$$
\sum_{k=1}^n k \cdot 2^{n-1} = 2^{n-1} \cdot \frac{n(n+1)}{2}
$$
因为奇子集与偶子集各占一半，所以：
$$
a_n = \frac{1}{2} \cdot 2^{n-1} \cdot \frac{n(n+1)}{2} = 2^{n-2} \cdot \frac{n(n+1)}{2}
$$",函数与函数方程
11,示例：$y = \sqrt{1 - x^2}$，由 $u = 1 - x^2$，$y = \sqrt{u}$ 复合而成。,该示例展示了如何将给定的函数 $y = \sqrt{1 - x^2}$ 分解为两个函数的复合。这里，我们有 $u = 1 - x^2$ 和 $y = \sqrt{u}$。因此，原函数可以看作是由这两个函数复合而成的，即 $y = \sqrt{1 - x^2} = (\sqrt{\cdot})(1 - x^2)$。,函数与函数方程
12,求函数 $y = x + \sqrt{x^2 - 3x + 2}$ 的值域,"由原式变形得：
$$
y - x = \sqrt{x^2 - 3x + 2} \Rightarrow (y - x)^2 = x^2 - 3x + 2
$$
展开并整理：
$$
y^2 - 2xy + x^2 = x^2 - 3x + 2 \Rightarrow y^2 - 2xy + 3x - 2 = 0
$$
解出 $x$ 关于 $y$ 的表达式，并分析定义域后得：
$$
\text{值域} = [1, \tfrac{3}{2}) \cup [2, +\infty)
$$",函数与函数方程
13,计算 2 + 3。,2 + 3 = 5,函数与函数方程
14,求解方程 x + 1 = 4。,x = 3,函数与函数方程
15,作出 $y = |x^2 + x - 6|$ 的图像,先画 $y = x^2 + x - 6$，再将 $x$ 轴下方部分翻折到上方即可。,函数与函数方程
16,"抛物线 $y = 2x^2$ 向右平移 $p$ 单位，向下平移 $q$ 单位后与直线 $y = x - 4$ 相切，求 $p, q$","平移后方程：
$$
y = 2(x - p)^2 - q
$$
联立直线：
$$
2(x - p)^2 - q = x - 4
\Rightarrow 2x^2 - (4p + 1)x + 2p^2 + 4 - q = 0
$$
判别式为零：
$$
\Delta = (4p + 1)^2 - 8(2p^2 + 4 - q) = 0
\Rightarrow 16p^2 + 8p + 1 - 32p^2 - 32 + 8q = 0
\Rightarrow -16p^2 + 8p + 8q - 31 = 0
$$
解得一组解（略去过程）：$p = \frac{1}{2}, q = \frac{7}{4}$",函数与函数方程
17,"向左平移 $p$，向上平移 $q$ 后过点 $(1,3)$ 和 $(4,9)$，求 $p,q$","新抛物线：
$$
y = 2(x + p)^2 + q
$$
代入两点列方程组求解得：
$$
p = 1, q = 1
$$",函数与函数方程
18,"原函数 $y = ax^2 + bx + c$ 向左平移3单位，向下平移2单位后得到 $y = dx^2$，且过点 $(-1, -2)$，求原函数","平移后：
$$
y = a(x+3)^2 + b(x+3) + c - 2 = dx^2
$$
比较系数得：
$$
a = d,\quad 6a + b = 0,\quad 9a + 3b + c - 2 = 0
$$
又因过 $(-1, -2)$，代入原函数得：
$$
a(-1)^2 + b(-1) + c = -2 \Rightarrow a - b + c = -2
$$
联立解得：
$$
a = 1,\quad b = -6,\quad c = 3
$$
原函数为：
$$
y = x^2 - 6x + 3
$$",函数与函数方程
19,"把 $ y = 2x^2 $ 向左平移 $ p $ 个单位，向上平移 $ q $ 个单位，得到的新抛物线为：
$$
y = 2(x + p)^2 + q.
$$
由题设条件，有：
$$
\begin{cases}
3 = 2(p + 1)^2 + q \\
9 = 2(p + 2)^2 + q
\end{cases}
$$",解此方程组得：$ p = -2 $，$ q = 1 $。,函数与函数方程
20,"已知抛物线 $ y = ax^2 $ 经过点 $ (-1, -5) $，则：",$ a = -5. $,函数与函数方程
21,写出 $ y = f(x) $ 的解析式：,"由图可知：
$$
f(x) = |x|, \quad -1 < x < 2.
$$",函数与函数方程
22,求 $ y = f(2x) $ 的解析式，并作图：,"$$
f(2x) = |2x| = 2|x|, \quad -\frac{1}{2} < x < 1.
$$
其图象如图 1-3 所示。",函数与函数方程
23,求 $ y = f(2x - 1) $ 的解析式，并作图：,"$$
f(2x - 1) = |2x - 1|, \quad \frac{1}{2} < x < \frac{3}{2}.
$$
其图象如图 1-4 所示。",函数与函数方程
24,"设 $ f(x) = x^2 + ax + b\cos x $，若集合：
$$
\{x \mid f(x) = 0, x \in \mathbb{R}\} \subseteq \{x \mid f(f(x)) = 0, x \in \mathbb{R}\},
$$
求所有实数 $ a, b $ 的值。","由题意，若 $ f(x_0) = 0 $，则 $ f(f(x_0)) = f(0) = 0 $，故 $ b = 0 $。
于是 $ f(x) = x(x + a) $，进一步分析得：
$$
a = 0 \quad \text{或} \quad 0 < a < 4.
$$
综上，满足条件的 $ a, b $ 为：
$$
0 \leq a < 4,\quad b = 0.
$$",函数与函数方程
25,"设 $ f(x) = \frac{ax + b}{cx + d} $，其中 $ a, b, c, d $ 为非零实数，且：
$$
f(19) = 19,\quad f(97) = 97,
$$
且对任意 $ x \neq -\frac{d}{c} $，有 $ f(f(x)) = x $。

证明：$ f(x) $ 的值域中唯一不能取到的数是 58。","由 $ f(f(x)) = x $，可推得：
$$
a + d = 0,\quad d^2 - a^2 = 0 \Rightarrow d = -a.
$$
又因 $ f(19) = 19 $、$ f(97) = 97 $，说明 19 和 97 是方程：
$$
cx^2 + (d - a)x - b = 0
$$
的两根。利用韦达定理：
$$
\frac{-b}{c} = 19 \times 97 = 1843,\quad \frac{d - a}{c} = -(19 + 97) = -116.
$$
结合 $ d = -a $，得：
$$
a = 58c,\quad b = -1843c,\quad d = -58c.
$$
因此：
$$
f(x) = \frac{58cx - 1843c}{cx - 58c} = \frac{58x - 1843}{x - 58}.
$$
该函数无法取到 $ x = 58 $，即值域外唯一数为 58。",函数与函数方程
26,"设集合 $ A = \{x \mid 1 < x < 9, x \in \mathbb{N}\} $，集合 $ F = \{(a,b,c,d) \mid a,b,c,d \in A\} $。定义映射：$$ f(a,b,c,d) = ab - cd. $$问：有多少个四元有序数组 $ (a,b,c,d) $ 满足 $ a < b < c < d $？","从集合 $ A = \{2,3,4,5,6,7,8\} $ 中任取四个不同元素组合，共：$$ \binom{7}{4} = 35. $$",函数与函数方程
27,"已知函数 $ f(x) $ 对任意实数 $ x $，满足：
$$
f(x) = f(398 - x) = f(2158 - x) = f(3214 - x).
$$
问：数列 $ f(0), f(1), \dots, f(999) $ 中最多有多少个不同的值？",利用对称性和周期性，确定最小周期，进而计算不同值个数。,函数与函数方程
28,"已知 $ f(x) $ 是定义在 $[-6,6]$ 上的奇函数，在 $[0,3]$ 上为一次函数，在 $[3,6]$ 上为二次函数，且 $ f(5) = 3 $，$ f(6) = 2 $。求解析式。","设 $ f(x) = -(x - 5)^2 + 3 $ 在 $[3,6]$，得 $ f(3) = -1 $，再由奇性得：
$$
f(x) =
\begin{cases}
-\frac{1}{3}x, & 0 \leq x \leq 3 \\
-(x - 5)^2 + 3, & 3 \leq x \leq 6 \\
(x + 5)^2 - 3, & -3 \leq x < 0 \\
-x, & -6 \leq x < -3
\end{cases}
$$",函数与函数方程
