id,question,answer,type
1,设 $z_1 = (m - 3) + (m - 1)i$，$z_2 = (2m - 5) + (m^2 + m - 2)i$，且 $z_1 > z_2 \in \mathbb{R}$，求实数 $m$ 的值。,"因为 $z_1 > z_2 \in \mathbb{R}$，即两者均为实数，故虚部必须为零：

$$
\begin{cases}
m - 1 = 0 \\
m^2 + m - 2 = 0
\end{cases}
\Rightarrow
\begin{cases}
m = 1 \\
(m + 2)(m - 1) = 0
\end{cases}
\Rightarrow m = 1
$$

又由 $z_1 > z_2$ 得：
$$
m - 3 > 2m - 5 \Rightarrow m < 2
$$

综上，满足条件的唯一解为：
$$
m = 1
$$",复数与向量
2,"设 $z = x + yi$（$x, y \in \mathbb{R}$），求 $\left| \frac{z + 3}{z - 2} \right|$ 的表达式。","令 $z = x + yi$，则：
$$
\left| \frac{z + 3}{z - 2} \right| = \left| \frac{(x + 3) + yi}{(x - 2) + yi} \right|
= \frac{\sqrt{(x + 3)^2 + y^2}}{\sqrt{(x - 2)^2 + y^2}}
$$

此即所求表达式。",复数与向量
3,"设复数 $ z = a + bi $，其中 $ a, b \in \mathbb{R} $，且 $ b \neq 0 $。若满足：
$$
\frac{a + b}{a - b} = \frac{a + k^2b}{a - k^2b}
$$","则可得 $ k = 1 $，从而得出该复数的可能取值为 $ 1, -1 $。",复数与向量
4,"已知方程：
$$
z^2 - xz + 4 + 3i = 0
$$
有实根，求使复数 $ z = x + yi $ 满足条件的所有可能值。","设实根为 $ x_0 $，记 $ z = x_0 + yi $，代入原方程得：
$$
(x_0 + yi)^2 - x_0(x_0 + yi) + 4 + 3i = 0
$$
展开并分离实部与虚部：
$$
x_0^2 - y^2 - x_0^2 + 4 + i(2x_0y - x_0y + 3) = 0
\Rightarrow
\begin{cases}
-y^2 + 4 = 0 \\
x_0y + 3 = 0
\end{cases}
$$
解得 $ y = \pm 2 $，进而 $ x_0 = -\frac{3}{y} = \mp \frac{3}{2} $。
因此对应的复数为：
$$
z = -\frac{3}{2} \pm 2i
$$",复数与向量
5,"已知两个复系数多项式：
$$
f(x) = \sum_{k=0}^{n} a_k x^k,\quad g(x) = \sum_{k=0}^{n} b_k x^k
$$
其中 $ a_k, b_k \in \mathbb{R} $，且 $ a_0 = b_0 = 1 $。若 $ g(x) = 0 $ 的所有根的平方的相反数是 $ f(x) = 0 $ 的全部根，证明：
$$
\sum_{k=1}^{n} (-1)^k a_k \text{ 是实数}.
$$","设 $ g(x) = \prod_{k=1}^{n}(x - r_k) $，则由题意，$ f(x) = \prod_{k=1}^{n}(x + r_k^2) $。
利用对称函数关系可推导出结论成立。",复数与向量
6,"设 $ A, B, C $ 分别是复数 $ z_1 = ai $, $ z_2 = b + ci $, $ z_3 = di $ 对应的三点（$ a, b, c, d \in \mathbb{R} $），且三点不共线。曲线定义为：
$$
z(t) = z_1 \cos^2 t + 2z_2 \cos^2 t \sin^2 t + z_3 \sin^2 t,\quad t \in \mathbb{R}
$$
求证：此曲线与三角形 $ ABC $ 中平行于边 $ AC $ 的中位线只有一个公共点，并求出该点。","设 $ D, E $ 分别为 $ AB $、$ BC $ 中点，则中位线对应复数表达式为：
$$
z = (1 - \lambda)z_D + \lambda z_E,\quad \lambda \in [0,1]
$$
联立曲线与中位线方程，消元后得唯一交点，其复数表示为：
$$
z = \frac{1}{4}(z_1 + 2z_2 + z_3)
$$",复数与向量
7,"设 $ z = \sqrt{w} $，其中 $ w = \sum_{k=1}^{n} a_k $，且 $ |w| = 1 $。令 $ p + qi $ 为其一个平方根，其中 $ p, q \in \mathbb{R} $。
求证：
$$
|p| < \frac{1}{2} \sum_{k=1}^{n} |a_k|
$$",**提示：** 使用反证法，假设 $ |p| \geq \frac{1}{2} \sum |a_k| $，推出矛盾。,复数与向量
8,"是否存在 $ \theta \in \left(-\frac{\pi}{2}, \frac{\pi}{2}\right) $，使得对任意复数 $ z $，恒有：
$$
z^2 + 8z + 9 = (z - \tan\theta)(z - \tan 3\theta)
$$","用反证法，取 $ z = -i $ 代入，化简后得：
$$
\tan 4\theta = 1,\quad \cos 4\theta = \frac{\sqrt{2}}{2}
$$
进一步推导导致矛盾，故不存在这样的 $ \theta $。",复数与向量
9,计算 2 + 3。,2 + 3 = 5,复数与向量
10,求解方程 x^2 - 4x + 4 = 0。,"(x - 2)^2 = 0, 所以 x = 2",复数与向量
