节点详细信息
节点ID,层级,原始ID,内容长度,子节点,内容
layer0_node0,0,0,54,,"$(1+5 \mathrm{i}) \mathrm{i}$ 的虚部为
A．-1
B． 0
C． 1
D． 6"
layer0_node1,0,1,102,,"设全集 $U=\{x \mid x$ 是小于 9 的正整数 $\}$ ，集合 $A=\{1,3,5\}$ ，则 $\complement_{U} A$ 中元素个数为
A． 2
B． 3
C． 5
D． 8"
layer0_node10,0,10,558,,"为研究某乘病与超声波检查结果的关系，从做过超声波检查的人群中随机调查了 1000 人，得到如下列联表：
\begin{tabular}{|l|l|l|l|}
\hline \backslashbox{组别}{超声波检查结果} & 正常 & 不正常 & 合计 \\
\hline 患该疾病 & 20 & 180 & 200 \\
\hline 未患该疾病 & 780 & 20 & 800 \\
\hline 合计 & 800 & 200 & 1000 \\
\hline
\end{tabular}
（1）记超声波检查结果不正常者患该疾病的概率为 $P$ ，求 $P$ 的估计值；
（2）根据小概率值 $\alpha=0.001$ 的独立性检验，分析超声波检查结果是否与患该疾病有关。

附：$\chi^{2}=\frac{n(a d-b c)^{2}}{(a+b)(c+d)(a+c)(b+d)}$ ，
\begin{tabular}{|c|l|c|c|}
\hline$P\left(\chi^{2} \geqslant k\right)$ & 0.005 & 0.010 & 0.001 \\
\hline$k$ & 3.841 & 6.635 & 10.828 \\
\hline
\end{tabular}"
layer0_node11,0,11,206,,"设数列 $\left\{a_{n}\right\}$ 满足 $a_{1}=3, \frac{a_{n+1}}{n}=\frac{a_{n}}{n+1}+\frac{1}{n(n+1)}$ ．
（1）证明：$\left\{n a_{n}\right\}$ 为等差数列；
（2）设 $f(x)=a_{1} x+a_{2} x^{2}+\cdots+a_{m} x^{m}$ ，求 $f^{\prime}(-2)$ ．"
layer0_node12,0,12,126,,"样本数据 $2, 8, 14, 16, 20$ 的平均数为 ( )
    \begin{multicols}{4}
        A. 8 \quad B. 9 \quad C. 12 \quad D. 18
    \end{multicols}"
layer0_node13,0,13,139,,"已知 $z = 1 + i$，$\frac{1}{z - 1} = ( )$
    \begin{multicols}{4}
        A. $-i$ \quad B. $i$ \quad C. $-1$ \quad D. $1$
    \end{multicols}"
layer0_node14,0,14,203,,"已知 $A = \{-4, 0, 1, 2, 8\}, B = \{x \mid x^3 = x\}$，则 $A \cap B = ( )$
    \begin{multicols}{4}
        A. $\{0, 1, 2\}$ \quad B. $\{1, 2, 8\}$ \quad C. $\{2, 8\}$ \quad D. $\{0, 1\}$
    \end{multicols}"
layer0_node15,0,15,198,,"不等式 $\frac{x - 4}{x - 1} \geq 2$ 的解集是 ( )\\

        A. $\{x \mid -2 \leq x \leq 1\}$ \\ 
        B. $\{x \mid x \leq -2\}$ \\
        C. $\{x \mid -2 \leq x < 1\}$ \\ 
        D. $\{x \mid x > 1\}$"
layer0_node16,0,16,177,,"记 $S_n$ 为等差数列 $\{a_n\}$ 的前 $n$ 项和，若 $S_3 = 6$, $S_5 = -5$，则 $S_6 = ( )$
    \begin{multicols}{4}
        A. $-20$ \quad B. $-15$ \quad C. $-10$ \quad D. $-5$
    \end{multicols}"
layer0_node17,0,17,306,,"已知 $0 < \alpha < \pi$, $\cos \frac{\alpha}{2} = \frac{\sqrt{5}}{5}$，则 $\sin \left(\alpha - \frac{\pi}{4}\right) = ( )$
    \begin{multicols}{4}
        A. $\frac{\sqrt{2}}{10}$ \quad B. $\frac{\sqrt{2}}{5}$ \quad C. $\frac{3\sqrt{2}}{10}$ \quad D. $\frac{7\sqrt{2}}{10}$
    \end{multicols}
\end{enumerate}"
layer0_node18,0,18,237,,"记 $S_n$ 为等比数列 $\{a_n\}$ 的前 $n$ 项和，$q$ 为 $\{a_n\}$ 的公比，$q > 0$。若 $S_3 = 7$, $a_3 = 1$，则 ( )
    \begin{multicols}{4}
        A. $q = \frac{1}{2}$ \quad B. $a_5 = \frac{1}{9}$ \quad C. $S_3 = 8$ \quad D. $a_n + S_n = 8$
    \end{multicols}"
layer0_node19,0,19,385,,"双曲线 $C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ ($a > 0$, $b > 0$) 的左、右焦点为 $F_1, F_2$，左、右顶点分别为 $A_1, A_2$，以 $F_1F_2$ 为直径的圆与曲线 $C$ 的一条渐近线交于 $M, N$ 两点，且 $\angle NA_1M = \frac{5\pi}{6}$，则 ( )\\

        A. $\angle A_1MA_2 = \frac{\pi}{6}$ \\
        B. $|MA_1| = 2|MA_2|$ \\
        C. $C$ 的离心率为 $\sqrt{13}$ \\
        D. 当 $a = \sqrt{2}$ 时，四边形 $NA_1MA_2$ 的面积为 $8\sqrt{3}$

\end{enumerate}"
layer0_node2,0,2,90,,"若双曲线 $C$ 的虚轴长为实轴长的 $\sqrt{7}$ 倍，则 $C$ 的离心率为
A．$\sqrt{2}$
B． 2
C．$\sqrt{7}$
D． $2 \sqrt{2}$"
layer0_node20,0,20,123,,"已知平面向量 $\vec{a} = (x, 1), \vec{b} = (x - 1, 2x)$，若 $\vec{a} \perp (\vec{a} - \vec{b})$，则 $|\vec{a}| = $ \rule{2cm}{0.15mm}."
layer0_node21,0,21,81,,若 $x = 2$ 是函数 $f(x) = (x - 1)(x - 2)(x - a)$ 的极值点，则 $f(0) = $ \rule{2cm}{0.15mm}.
layer0_node22,0,22,260,,"已知函数 $f(x) = \cos(2x + \varphi)$ ($0 \leq \varphi < \pi$)，$f(0) = \frac{1}{2}$.
    \begin{enumerate}[label=\arabic*\intertext{.}]
        1. 求 $\varphi$；\\
        2. 设函数 $g(x) = f(x) + f\left(x - \frac{\pi}{6}\right)$，求 $g(x)$ 的值域及单调区间。\\
    \end{enumerate}"
