id,question,answer,type
1,"设 $ a, b, c $ 是 $ \triangle ABC $ 的三边，求证：
$$
\frac{a}{b+c} + \frac{b}{c+a} + \frac{c}{a+b} < 2
$$","由三角不等式 $ c < a + b $ 得：
$$
\frac{a}{b+c} < \frac{a}{a+b} = \frac{a}{a+b}
$$
同理：
$$
\frac{b}{c+a} < \frac{b}{a+b}, \quad \frac{c}{a+b} < \frac{c}{a+b}
$$
相加即得：
$$
\frac{a}{b+c} + \frac{b}{c+a} + \frac{c}{a+b} < \frac{a+b+c}{a+b} = 1 + \frac{c}{a+b} < 2
$$",几何不等式
2,设 $ P $ 是 $ \triangle ABC $ 内一点，且 $ AB $ 是最长边，求证：$$ PA + PB > PC $$,延长 $ CP $ 交 $ AB $ 于点 $ D $。由于 $ \angle ADC $ 或 $ \angle BDC $ 至少有一个不是锐角，不妨设 $ \angle ADC $ 非锐角，则在 $ \triangle ADC $ 中由命题3得：$$ AB > AC > CD > PC $$又在 $ \triangle PAB $ 中由三角不等式：$$ PA + PB > AB $$综上：$$ PA + PB > AB > PC\Rightarrow PA + PB > PC $$,几何不等式
3,设一条平面闭折线周长为 $ 1 $，证明可用半径为 $ \frac{1}{4} $ 的圆完全覆盖该折线。,"关键是找到一点 $ O $，使得折线上任意点到 $ O $ 的距离不超过 $ \frac{1}{4} $。

任取折线上一点 $ A $，在其上找另一点 $ B $，使沿折线从 $ A $ 到 $ B $ 的路径长度为 $ \frac{1}{2} $，记 $ AB $ 中点为 $ O $。

对折线上任意点 $ M $，由命题4（中线性质）：
$$
OM \leq \frac{1}{2}(AM + MB)
$$
而 $ AM + MB \leq $ 折线 $ AMB $ 的长度 ≤ $ \frac{1}{2} $（因为总长为1，$ AB $ 分割成两段各≤1/2），故：
$$
OM \leq \frac{1}{2} \cdot \frac{1}{2} = \frac{1}{4}
$$
因此整条折线都在以 $ O $ 为中心、半径 $ \frac{1}{4} $ 的圆内。",几何不等式
4,求证：两端点在一圆周上且将此圆分成等面积的两部分的所有曲线中，以此圆的直径具有最短的长度。,"设 $AB$ 是一条满足题设条件的曲线。

- 如果 $A$、$B$ 两点正好是某一条直径的两个端点，那么显然 $AB$ 的长度不会小于圆的直径。
- 如果弦 $AB$ 不是直径，如图 1-3，令与弦 $AB$ 平行的直径为 $CD$，交于不同的两点。设 $E$ 是不是圆心的那个交点，则：
  $$
  \text{弧 } AB \text{ 的长} = \text{曲线 } AE + EB \text{ 的长} > AE + EB.
  $$
  （这样将曲线化为了折线）

下面再证折线 $AE + EB$ 大于圆的直径。取 $B$ 关于 $CD$ 的对称点 $B'$，则易证 $AB'$ 是圆的直径。于是：
$$
AE + EB = AE + EB' > AB' = \text{直径}.
$$
综上便知所证结论成立。",几何不等式
5,"设 \( P \) 是 \( \triangle ABC \) 内一点，\( A' \)、\( B' \)、\( C' \) 分别为 \( P \) 在边 \( BC \)、\( CA \)、\( AB \) 上的射影；\( AP \)、\( BP \)、\( CP \) 与三条对边的交点分别为 \( A'' \)、\( B'' \)、\( C'' \)。已知 \( \triangle A'B'C' \) 的周长为 1，求证：
\[
\frac{1}{A'B'} + \frac{1}{B'C'} + \frac{1}{C'A'} < 2.
\]","要证此不等式，只需证明局部不等式：
\[
PA + PB > A'B' + B'C',
\]
以及类似的两个不等式：
\[
PB + PC > B'C' + C'A', \\
PC + PA > C'A' + A'B'.
\]

下面给出第一个不等式的证明：

**引理** 如图 1-4，设 \( P \) 是 \( \triangle ABC \) 的高 \( AD \) 上的一点，直线 \( BP \) 交 \( AC \) 于 \( E \)，\( CP \) 交 \( AB \) 于 \( F \)，且 \( \angle FDA = \angle EDA \)。

**证明** 过 \( D \) 作 \( BC \) 的平行线，与直线 \( DE \)、\( DF \) 分别交于 \( M \)、\( N \)。由 Ceva 定理：
\[
\frac{AF}{FB} \cdot \frac{BD}{DC} \cdot \frac{CE}{EA} = 1,
\]
即：
\[
\frac{AM}{AN} = 1 \Rightarrow AM = AN.
\]
又因 \( AD \parallel MN \)，所以 \( DM = DN \)，从而：
\[
\angle EDA = \angle ADM = \angle ADN = \angle FDA.
\]

回到原命题的证明：

(1) 若 \( P \) 位于 \( \triangle ABC \) 的高 \( AD \) 上，则 \( A' = A \)，不等式显然成立。
(2) 若 \( P \) 不在 \( AD \) 上，如图 1-5，设 \( P \) 和 \( D \) 在 \( AB \) 同侧，连接并延长 \( AP \) 交 \( AB \) 于 \( M \)，连接 \( MC \) 交 \( BB' \) 于 \( M' \)，则由引理知：
\[
\angle BAP = \angle CA'P.
\]
作 \( B \) 关于 \( BC \) 的对称点 \( N \)，则：
\[
\angle NA'C = \angle CA'B'.
\]
由于 \( A' \)、\( C' \)、\( N \) 同侧，根据命题 5 有：
\[
A'C' + A'N > AC'.
\]
注意到 \( A'B' = AN \)，\( A'C' = A'N \)，因此：
\[
A'B' + A'C' > AB + AC'.
\]
得证。",几何不等式
6,"设 \(P\) 是 \(\triangle ABC\) 内一点，证明：
\[
\sqrt{PA} + \sqrt{PB} + \sqrt{PC} < 2(\sqrt{a} + \sqrt{b} + \sqrt{c}),
\]
其中 \(a = BC\), \(b = CA\), \(c = AB\)。","记 \(BC = a\), \(CA = b\), \(AB = c\), \(PA = x\), \(PB = y\), \(PC = z\)。

不妨设 \(P\) 位于平行四边形 \(A'B'AC'\) 中，应用引理得：
\[
x + y < a + b + c, \quad x + z < a + b + c.
\]
相加得：
\[
2x + y + z < 2(a + b + c).
\]

原不等式等价于：
\[
x + y + z + 2\sqrt{xy} + 2\sqrt{xz} + 2\sqrt{yz} < 2(a + b + c + 2\sqrt{ab} + 2\sqrt{bc} + 2\sqrt{ca}).
\]

利用均值不等式：
\[
2\sqrt{xy} \leq x + y,\quad 2\sqrt{xz} \leq x + z,\quad 2\sqrt{yz} \leq y + z,
\]
可得左边 ≤ \(x + y + z + (x + y) + (x + z) + (y + z) = 2(x + y + z)\)。

只需证明：
\[
x + y + z < a + b + c + 2\sqrt{ab} + 2\sqrt{bc} + 2\sqrt{ca},
\]
而由前文不等式可知成立。

另证（椭圆法）：
过 \(P\) 作以 \(B\)、\(C\) 为焦点的椭圆，与 \(AB\)、\(AC\) 分别交于 \(E\)、\(F\)。则：
\[
PA < \max(EA, FA), \quad PB + PC < \sqrt{2}(EB + EC),
\]
故：
\[
\sqrt{PA} + \sqrt{PB} + \sqrt{PC} < \sqrt{EA} + \sqrt{2}(EB + EC) < \cdots < 2(\sqrt{a} + \sqrt{b} + \sqrt{c}).
\]",几何不等式
7,"设 $\triangle ABC$ 三边分别为 $a,b,c$，中线长为 $m_a,m_b,m_c$，则：
$$
4m_am_b < 2a^2 + bc.
$$","构造平行四边形 $ABCD$ 和 $ACBE$，连接 $BD, CE$，注意 $DE = 2a$，$BD = 2m_a$，$CE = 2m_b$。对四边形 $BCDE$ 应用 Ptolemy 不等式即可得证。",几何不等式
8,"$$
m_a(bc - a^2) + m_b(ac - b^2) + m_c(ab - c^2) \geq 0.
$$",设 $G$ 为重心，在四边形 $BDGF$ 中应用 Ptolemy 不等式，结合中线公式，整理后即得。,几何不等式
9,"设 $A_1A_2\ldots A_n$ 是正 $n$ 边形，$M_i$ 为其对应边中点，$P$ 为平面上任意一点，则：
$$
\sum_{i=1}^{n} PM_i \geq \left(2\cos\frac{\pi}{n}\right) PA.
$$",对每个四边形 $PM_{i-1}A_iM_i$ 应用 Ptolemy 不等式，累加后即可得。,几何不等式
10,"设 $P$ 为平行四边形 $ABCD$ 内一点，则：
$$
PA + PC + PB + PD \geq AB + BC,
$$
等号成立当且仅当 $\angle APD + \angle CPB = \pi$。","构造辅助线 $PQ \parallel CD$，连接 $CQ, BQ$，在四边形 $PBQC$ 中使用 Ptolemy 不等式即可。",几何不等式
