
id,problem,answer,truth,final
1,"$(1+5 \mathrm{i}) \mathrm{i}$ 的虚部为
A．-1
B． 0
C． 1
D． 6",C,C,一致
2,"设全集 $U=\{x \mid x$ 是小于 9 的正整数 $\}$ ，集合 $A=\{1,3,5\}$ ，则 $\complement_{U} A$ 中元素个数为
A． 2
B． 3
C． 5
D． 8",C．5,C,一致
3,"若双曲线 $C$ 的虚轴长为实轴长的 $\sqrt{7}$ 倍，则 $C$ 的离心率为
A．$\sqrt{2}$
B． 2
C．$\sqrt{7}$
D． $2 \sqrt{2}$",D．$2 \sqrt{2}$,D,一致
4,"若点 $(a, 0)(a>0)$ 是函数 $y=2 \tan \left(x-\frac{\pi}{3}\right)$ 的图象的一个对称中心，则 $a$ 的最小值为
A．$\frac{\pi}{4}$
B．$\frac{\pi}{2}$
C．$\frac{\pi}{3}$
D．$\frac{4 \pi}{3}$",C,C,一致
5,"设 $f(x)$ 是定义在 $R$ 上且周期为 2 的偶函数，当 $2 \leqslant x \leqslant 3$ 时，$f(x)=5-2 x$ ，则 $f\left(-\frac{3}{4}\right)=$
A．$-\frac{1}{2}$
B．$-\frac{1}{4}$
C．$\frac{1}{4}$
D．$\frac{1}{2}$",A．$-\frac{1}{2}$,A,一致
6,"若圆 $x^{2}+(y+2)^{2}=r^{2}(r>0)$ 上到直线 $y=\sqrt{3} x+2$ 的距离为 1 的点有且仅有 2 个，则 $r$ 的取值范围是

A．$(0,1)$
B．$(1,3)$
C．$(3,+\infty)$
D．$(0,+\infty)$","B．$(1,3)$",B,一致
7,"若实数 $x, y, z$ 满足 $2+\log _{2} x=3+\log _{3} y=5+\log _{5} z$ ，则 $x, y, z$ 的大小关系不可能是 
A．$x>y>z$
B．$x>z>y$
C．$y>x>z$
D．$y>z>x$","$$
\boxed{B}
$$",B,一致
8,若直线 $y=2 x+5$ 是曲线 $y=\mathrm{e}^{x}+x+a$ 的切线，则 $a=$ $\qquad$。,"$$
\boxed{4}
$$",4,一致
9,若一个等比数列的前 4 项和为 4 ，前 8 项和为 68 ，则该等比数列的公比为 $\qquad$。,"$$
\boxed{2}
$$",2，-2,不一致
10,一个箱子里有 5 个相同的球，分别以 $1 \sim 5$ 标号，从中有放回地取三次，记至少取出一次的球的个数 $X$ ，则数学期望 $E(X)=$ $\qquad$。,"$$
\boxed{\dfrac{61}{25}}
$$",61/25,一致
11,"为研究某乘病与超声波检查结果的关系，从做过超声波检查的人群中随机调查了 1000 人，得到如下列联表：
\begin{tabular}{|l|l|l|l|}
\hline \backslashbox{组别}{超声波检查结果} & 正常 & 不正常 & 合计 \\
\hline 患该疾病 & 20 & 180 & 200 \\
\hline 未患该疾病 & 780 & 20 & 800 \\
\hline 合计 & 800 & 200 & 1000 \\
\hline
\end{tabular}
（1）记超声波检查结果不正常者患该疾病的概率为 $P$ ，求 $P$ 的估计值；
（2）根据小概率值 $\alpha=0.001$ 的独立性检验，分析超声波检查结果是否与患该疾病有关。

附：$\chi^{2}=\frac{n(a d-b c)^{2}}{(a+b)(c+d)(a+c)(b+d)}$ ，
\begin{tabular}{|c|l|c|c|}
\hline$P\left(\chi^{2} \geqslant k\right)$ & 0.005 & 0.010 & 0.001 \\
\hline$k$ & 3.841 & 6.635 & 10.828 \\
\hline
\end{tabular}","（1）$ P $ 的估计值为 **0.9**；  
（2）**超声波检查结果与患该疾病有关**。",（1）P = 0.9 （2）765.625 > 10.828，有关,一致

12,"设数列 $\left\{a_{n}\right\}$ 满足 $a_{1}=3, \frac{a_{n+1}}{n}=\frac{a_{n}}{n+1}+\frac{1}{n(n+1)}$ ．
（1）证明：$\left\{n a_{n}\right\}$ 为等差数列；
（2）设 $f(x)=a_{1} x+a_{2} x^{2}+\cdots+a_{m} x^{m}$ ，求 $f^{\prime}(-2)$ ．","$$
\boxed{\dfrac{7 - (3m + 7)(-2)^m}{9}}
$$",（1）na_n = n+2 （2）7/9 - (1/2 + (m+2)/3)*(-2)^m,不一致
13,"如图所示的四棱雉 $P-A B C D$ 中，$P A \perp$ 平面 $A B C D, B C / / A D, A B \perp A D$ ．
（1）证明：平面 $P A B \perp$ 平面 $P A D$ ；
（2）若 $P A=A B=\sqrt{2}, A D=\sqrt{3}+1, B C=2, P, B, C, D$ 在同一个球面上，设该球面的球心为 $O$ ．
（i）证明：$O$ 在平面 $A B C D$ 上；
（ii）求直线 $A C$ 与直线 $P O$ 所成角的余弦值．",$\boxed{\dfrac{\sqrt{2}}{3}}$,(2)\sqrt{2}/3,一致
