节点详细信息
节点ID,层级,原始ID,内容长度,子节点,内容
layer0_node0,0,0,54,,"$(1+5 \mathrm{i}) \mathrm{i}$ 的虚部为
A．-1
B． 0
C． 1
D． 6"
layer0_node1,0,1,102,,"设全集 $U=\{x \mid x$ 是小于 9 的正整数 $\}$ ，集合 $A=\{1,3,5\}$ ，则 $\complement_{U} A$ 中元素个数为
A． 2
B． 3
C． 5
D． 8"
layer0_node10,0,10,224,,"已知 $\triangle A B C$ 的面积为 $\frac{1}{4}$ ，若 $\cos 2 A+\cos 2 B+2 \sin C=2, \cos A \cos B \sin C=\frac{1}{4}$ ，则 
A． $\sin C=\sin ^{2} A+\sin ^{2} B$
B．$A B=\sqrt{2}$
C． $\sin A+\sin B=\frac{\sqrt{6}}{2}$
D．$A C^{2}+B C^{2}=3$"
layer0_node11,0,11,61,,若直线 $y=2 x+5$ 是曲线 $y=\mathrm{e}^{x}+x+a$ 的切线，则 $a=$ $\qquad$。
layer0_node12,0,12,51,,若一个等比数列的前 4 项和为 4 ，前 8 项和为 68 ，则该等比数列的公比为 $\qquad$。
layer0_node13,0,13,84,,一个箱子里有 5 个相同的球，分别以 $1 \sim 5$ 标号，从中有放回地取三次，记至少取出一次的球的个数 $X$ ，则数学期望 $E(X)=$ $\qquad$。
layer0_node14,0,14,558,,"为研究某乘病与超声波检查结果的关系，从做过超声波检查的人群中随机调查了 1000 人，得到如下列联表：
\begin{tabular}{|l|l|l|l|}
\hline \backslashbox{组别}{超声波检查结果} & 正常 & 不正常 & 合计 \\
\hline 患该疾病 & 20 & 180 & 200 \\
\hline 未患该疾病 & 780 & 20 & 800 \\
\hline 合计 & 800 & 200 & 1000 \\
\hline
\end{tabular}
（1）记超声波检查结果不正常者患该疾病的概率为 $P$ ，求 $P$ 的估计值；
（2）根据小概率值 $\alpha=0.001$ 的独立性检验，分析超声波检查结果是否与患该疾病有关。

附：$\chi^{2}=\frac{n(a d-b c)^{2}}{(a+b)(c+d)(a+c)(b+d)}$ ，
\begin{tabular}{|c|l|c|c|}
\hline$P\left(\chi^{2} \geqslant k\right)$ & 0.005 & 0.010 & 0.001 \\
\hline$k$ & 3.841 & 6.635 & 10.828 \\
\hline
\end{tabular}"
layer0_node15,0,15,206,,"设数列 $\left\{a_{n}\right\}$ 满足 $a_{1}=3, \frac{a_{n+1}}{n}=\frac{a_{n}}{n+1}+\frac{1}{n(n+1)}$ ．
（1）证明：$\left\{n a_{n}\right\}$ 为等差数列；
（2）设 $f(x)=a_{1} x+a_{2} x^{2}+\cdots+a_{m} x^{m}$ ，求 $f^{\prime}(-2)$ ．"
layer0_node16,0,16,255,,"如图所示的四棱雉 $P-A B C D$ 中，$P A \perp$ 平面 $A B C D, B C / / A D, A B \perp A D$ ．
（1）证明：平面 $P A B \perp$ 平面 $P A D$ ；
（2）若 $P A=A B=\sqrt{2}, A D=\sqrt{3}+1, B C=2, P, B, C, D$ 在同一个球面上，设该球面的球心为 $O$ ．
（i）证明：$O$ 在平面 $A B C D$ 上；
（ii）求直线 $A C$ 与直线 $P O$ 所成角的余弦值．"
layer0_node17,0,17,323,,"设椭圆 $C: \frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ 的离心率为 $\frac{2 \sqrt{2}}{3}$ ，下顶点为 $A$ ，右顶点为 $B,|A B|=\sqrt{10}$ ．
（1）求椭圆的标准方程；
（2）已知动点 $P$ 不在 $y$ 轴上，点 $R$ 在射线 $A P$ 上，且满足 $|A R| \cdot|A P|=3$ ．
（i）设 $P(m, n)$ ，求点 $R$ 的坐标（用 $m, n$ 表示）；
（ii）设 $O$ 为坐标原点，$Q$ 是 $C$ 上的动点，直线 $O R$ 的斜率为直线 $O P$ 的斜率的 3 倍，求 $|P Q|$ 的最大值．"
layer0_node18,0,18,277,,"设函数 $f(x)=5 \cos x-\cos 5 x$ ．
（1）求 $f(x)$ 在 $\left[0, \frac{\pi}{4}\right]$ 的最大值；
（2）给定 $\theta \in(0, \pi)$ ，设 $a$ 为实数，证明：存在 $y \in[a-\theta, a+\theta]$ ，使得 $\cos y \leqslant \cos \theta$ ；
（3）若存在 $\varphi$ 使得对任意 $x$ ，都有 $5 \cos x-\cos (5 x+\varphi) \leqslant b$ ，求 $b$ 的最小值．"
layer0_node2,0,2,90,,"若双曲线 $C$ 的虚轴长为实轴长的 $\sqrt{7}$ 倍，则 $C$ 的离心率为
A．$\sqrt{2}$
B． 2
C．$\sqrt{7}$
D． $2 \sqrt{2}$"
layer0_node3,0,3,157,,"若点 $(a, 0)(a>0)$ 是函数 $y=2 \tan \left(x-\frac{\pi}{3}\right)$ 的图象的一个对称中心，则 $a$ 的最小值为
A．$\frac{\pi}{4}$
B．$\frac{\pi}{2}$
C．$\frac{\pi}{3}$
D．$\frac{4 \pi}{3}$"
layer0_node4,0,4,174,,"设 $f(x)$ 是定义在 $R$ 上且周期为 2 的偶函数，当 $2 \leqslant x \leqslant 3$ 时，$f(x)=5-2 x$ ，则 $f\left(-\frac{3}{4}\right)=$
A．$-\frac{1}{2}$
B．$-\frac{1}{4}$
C．$\frac{1}{4}$
D．$\frac{1}{2}$"
