id,question,answer,type
1,"设点 $P$ 在 $\triangle ABC$ 的外接圆上，直线 $CP$ 与 $AB$ 相交于点 $E$，$BP$ 与 $AC$ 相交于点 $F$。过点 $A$ 作 $AB$ 的垂直平分线交 $AC$ 于点 $K$，交 $BF$ 于点 $J$。求证：
$$
\frac{CE^2}{BF^2} = \frac{AJ + JE}{AK + KF}
$$","连结 $BK$、$CT$。
由 $A, B, P, C$ 四点共圆，知 $\angle BPE = \angle A$，故：
$$
\angle E = \angle ABP - \angle A = \angle ABP - \angle ABK = \angle KBF
$$
同理可得 $\angle F = \angle JCE$，因此：
$$
\triangle AJC \sim \triangle KBF
\Rightarrow \frac{CE}{BF} = \frac{JE}{KF}
\Rightarrow \frac{CE^2}{BF^2} = \frac{JE^2}{KF^2}
$$
结合比例关系即得结论。",平面几何
2,"设 $\triangle PQR$ 与 $\triangle P'Q'R'$ 是两个全等的等边三角形，六边形 $ABCDEF$ 边长依次为：
$$
AB = a_1,\ BC = b_1,\ CD = a_2,\ DE = b_2,\ EF = a_3,\ FA = b_3
$$
求证：
$$
a_1^2 + a_2^2 + a_3^2 = b_1^2 + b_2^2 + b_3^2
$$","由于各三角形均为等边且角度相等，可证六个小三角形面积分别为 $S_1, S_2, \dots, S_6$，且满足：
$$
S_1 + S_2 + S_3 = S_4 + S_5 + S_6
$$
令每组面积之和为 $S$，则有：
$$
a_1^2 + a_2^2 + a_3^2 = b_1^2 + b_2^2 + b_3^2
$$",平面几何
3,"设圆 $O$ 和圆 $O'$ 外切于点 $S$，弦 $AB$ 是圆 $O$ 的直径，$M$ 是圆 $O'$ 上一点，过 $M$ 作 $MN \perp AB$，垂足为 $N$，$r$ 为圆 $O$ 半径。求证：
$$
AC \cdot CB = 2r \cdot MN
$$","**证明**：作圆 $O$ 的直径 $CD$，因 $S$ 是两圆位似中心，$C, M$ 为对应点，故 $S, C, M$ 共线。
由相交弦定理得：
$$
AC \cdot CB = SC \cdot CM
$$
又 $\triangle SCD \sim \triangle NMC$，所以：
$$
SC \cdot CM = CD \cdot MN = 2r \cdot MN
$$
命题得证。",平面几何
4,"设凸四边形 $ABCD$ 满足 $AB = BC$，$AD = DC$。点 $E$ 在 $AB$ 上，点 $F$ 在 $AD$ 上，且 $B, E, F, D$ 四点共圆。作 $\triangle APE$ 顺向相似于 $\triangle ADC$，作 $\triangle AQF$ 顺向相似于 $\triangle ABC$。求证：$A, P, Q$ 三点共线。","利用相似三角形性质及角度关系推导出 $\angle BAO = \angle DAP = \angle DAQ$，从而得出 $A, P, Q$ 共线。",平面几何
5,"设 $ABCD$ 为凸四边形，其对角线交于点 $O$，$\odot OAB$ 与 $\odot OCD$ 交于 $O, M$ 两点，直线 $OM$ 分别交 $\odot OAB$、$\odot OCD$ 于点 $T, S$。求证：$M$ 是线段 $TS$ 的中点。","连结 $BT, CS, MA, MB, MC, MD$。
由 $\angle BTO = \angle BAO$，$\angle BCO = \angle BMO$，得：
$$
\triangle BIM \sim \triangle BAC \Rightarrow \frac{IM}{AC} = \frac{BM}{BC}
$$
同理 $\triangle CMS \sim \triangle CBD$，得：
$$
\frac{MS}{BD} = \frac{CM}{BC}
$$
结合 $\triangle MBD \sim \triangle MCA$ 得：
$$
\frac{BM}{CM} = \frac{BD}{AC}
\Rightarrow \frac{IM}{MS} = \frac{BM}{CM} \cdot \frac{AC}{BD} = 1
$$
故 $M$ 是 $TS$ 中点。",平面几何
6,已知：点 $D$ 在 $\triangle ABC$ 的边 $BC$ 上，以线段 $BD$ 为直径的圆分别交直线 $AB$、$AD$ 于点 $X$、$P$（异于点 $B$、$D$），以线段 $CD$ 为直径的圆分别交直线 $AC$、$AD$ 于点 $Y$、$Q$（异于点 $C$、$D$）。过点 $A$ 作直线 $PX$、$QY$ 的垂线，垂足分别为 $M$、$N$。求证：$\triangle AMN \sim \triangle ABC$ 的充分必要条件是直线 $AD$ 过 $\triangle ABC$ 的外心。,"由已知有 $B, P, D, X$ 及 $C, Y, Q, D$ 分别四点共圆。
故：
$$
\angle AXM = \angle BXP = \angle BDP = \angle QDC = \angle AYN
$$
所以：
$$
\text{Rt}\triangle AMX \sim \text{Rt}\triangle ANY
$$
从而：
$$
\frac{AM}{AN} = \frac{AX}{AY}
\quad \Rightarrow \quad \angle MAX = \angle NAY
$$
于是：
$$
\angle MAN = \angle XAY
\quad \Rightarrow \quad \triangle AMN \sim \triangle AXY
$$
又因：
$$
\triangle AXY \sim \triangle ABC \iff XY \parallel BC \iff \angle DXY = \angle XDB
$$
而：
$$
\angle DXY = \angle DAY = 90^\circ - \angle ABC
\quad \Rightarrow \quad AD \text{ 过 } \triangle ABC \text{ 的外心}
$$",平面几何
7,"已知：在 $\triangle ABC$ 中，$O$ 是三角形内一点满足：
$$
\angle BAO = \angle CAO = \angle CBO = \angle ACO
$$
求证：$\triangle ABC$ 三边长成等比数列。","如图，过 $O$ 作 $OE \perp AB$，$OF \perp AC$，设 $\angle BAO = \angle CAO = \alpha$，$\angle CBO = \angle ACO = \beta$。
则：
- $\angle OAC = \angle OCA = \alpha \Rightarrow AO = OC$
- $\angle OBC = \angle OCB = \beta \Rightarrow BO = CO$

进一步可得：
$$
\frac{AC}{OC} = \frac{AO}{OE}, \quad \frac{AB}{AE} = \frac{BC}{CD}
\quad \Rightarrow \quad \frac{AC \cdot AB}{AO \cdot BC} = 1
$$
结合 $AO = OC$，$AE = OE$，得：
$$
BC^2 = AC \cdot AB
\quad \Rightarrow \quad \text{三边成等比数列}
$$",平面几何
8,"设 $P$ 是 $\triangle ABC$ 外接圆弧 $BAC$ 上的一个动点，在射线 $BP$、$CP$ 上分别取定点 $U$ 和 $V$，使得：
$$
BU = yBA,\quad CV = yCA
$$
再在射线 $UV$ 上取点 $Q$，使得 $UQ = UV$。
求点 $Q$ 的轨迹。","延长 $BC$ 至点 $D$，使 $BD = yBC$。连结 $AD$、$DQ$。
由条件知：
$$
\triangle ACV \sim \triangle ABU \Rightarrow \frac{AV}{AU} = \frac{AC}{AB},\quad \angle UAV = \angle BAC
\Rightarrow \triangle AUV \sim \triangle ABC
$$
且 $UQ = UV$，故 $Q$ 在以 $A$ 为圆心、半径为 $yAD$ 的圆上。
当 $P$ 移动至弧端点时，$Q$ 的轨迹为该圆的一段弧。",平面几何
9,"设 $\triangle ABC$ 内部有四个半径相等的圆 $K_1, K_2, K_3, K_4$，其中：
- $K_1, K_2, K_3$ 均与两边相切；
- $K_4$ 外切于前三者。

求证：$K_1, K_2, K_3$ 的圆心共线。","设内心为 $I$，外心为 $D$。由于各圆半径相同，且分别切于不同边，则：
$$
K_1K_2 \parallel AB,\quad K_2K_3 \parallel BC,\quad K_3K_1 \parallel AC
\Rightarrow \triangle K_1K_2K_3 \sim \triangle ABC
$$
且对应边比例一致，说明它们位似中心为 $I$，故三点共线。",平面几何
10,求证：$OI^2 = R^2 - 2Rr$，其中 $R$、$r$ 分别为 $\triangle ABC$ 的外接圆和内切圆半径。,"延长 $AI$ 交 $BC$ 于 $D$，作 $IF \perp AB$，$IE \perp AC$。
利用相似关系：
$$
\triangle EDC \sim \triangle AIF \Rightarrow ED \cdot IF = AI \cdot DI
\Rightarrow 2Rr = AI \cdot DI = R^2 - OI^2
\Rightarrow OI^2 = R^2 - 2Rr
$$",平面几何
