id,question,answer,type
1,"设 $ a, b, c $ 是正实数，求证：
$$
\frac{a^2 + bc}{b + c} + \frac{b^2 + ca}{c + a} + \frac{c^2 + ab}{a + b} \geq a + b + c
$$","左边减右边：
$$
\sum_{\text{cyc}} \left( \frac{a^2 + bc}{b + c} - a \right)
= \sum_{\text{cyc}} \frac{(a - b)(a - c)}{(b + c)}
= \frac{(a - b)^2 + (b - c)^2 + (c - a)^2}{2(a + b)(b + c)(c + a)} \geq 0
$$
等号成立当且仅当 $ a = b = c $。",不等式的解题方法与技巧
2,"实数 $ x, y, z $ 满足 $ xy + yz + zx = -1 $，求证：
$$
x^2 + 5y^2 + 8z^2 \geq 4
$$","$$
x^2 + 5y^2 + 8z^2 - 4 = x^2 + 5y^2 + 8z^2 + 4(xy + yz + zx)
= (x + 2y + 2z)^2 + (y - 2z)^2 \geq 0
$$
故不等式成立，等号成立当且仅当 $ x + 2y + 2z = 0 $ 且 $ y = 2z $。",不等式的解题方法与技巧
3,"设 $ a, b, c > 0 $，求证：
$$
\frac{a}{b + c} + \frac{b}{c + a} + \frac{c}{a + b} \geq \frac{3}{2}
$$","注意到：
$$
\frac{a}{b + c} + \frac{b}{c + a} + \frac{c}{a + b} = \sum_{\text{cyc}} \frac{a^2}{a(b + c)} \geq \frac{(a + b + c)^2}{2(ab + bc + ca)}
$$
利用均值不等式即可完成。",不等式的解题方法与技巧
4,"设 $ a, b, c \in \mathbb{R}^+ $，求证：
$$
abc \geq (ab + bc + ca)\sqrt[3]{abc}
\quad \Rightarrow \quad abc \geq (ab + bc + ca)^3 / 27
$$","此结论可推广为：对正实数 $ a_1, a_2, \dots, a_n $，有：
$$
a_1 a_2 \cdots a_n \geq \left( \frac{a_1 + a_2 + \cdots + a_n}{n} \right)^n
$$",不等式的解题方法与技巧
5,"设 $ a + b + c = 1 $，$ a, b, c > 0 $，求：
$$
S = \frac{1}{a} + \frac{1}{b} + \frac{1}{c} + \frac{2}{a + b + c}
$$
的最小值。","猜测 $ S \geq 3 $，当 $ a = b = c = \frac{1}{3} $ 时取等。
$$
S = \frac{1}{a} + \frac{1}{b} + \frac{1}{c} + 6 \geq 3\sqrt[3]{\frac{1}{abc}} + 6 \geq 3 \cdot 3 + 6 = 15
$$
但更简洁的方法是直接代入或用 Jensen 不等式。",不等式的解题方法与技巧
6,"设 $ a_1, a_2, \dots, a_n > 0 $，求证：
$$
\sum_{i=1}^{n} \frac{1}{a_i} \geq \frac{n^2}{\sum_{i=1}^{n} a_i}
$$","**证明（柯西不等式）：**
$$
\left( \sum_{i=1}^{n} a_i \right) \left( \sum_{i=1}^{n} \frac{1}{a_i} \right) \geq n^2
\quad \Rightarrow \quad \sum_{i=1}^{n} \frac{1}{a_i} \geq \frac{n^2}{\sum_{i=1}^{n} a_i}
$$",不等式的解题方法与技巧
7,"求证：对任意正实数 \(a, b, c\)，均有 \(\frac{1}{a+b} + \frac{1}{b+c} + \frac{1}{c+a} > \frac{3}{2(a+b+c)}\)","因为
\[ a + b = (a + b)(a^2 + b^2 - ab) > (a + b)ab, \]
所以
\[ \frac{1}{a+b} < \frac{1}{ab}. \]
同理可得：
\[ \frac{1}{b+c} < \frac{1}{bc}, \quad \frac{1}{c+a} < \frac{1}{ca}. \]
将三式相加，得：
\[ \frac{1}{a+b} + \frac{1}{b+c} + \frac{1}{c+a} < \frac{1}{ab} + \frac{1}{bc} + \frac{1}{ca} = \frac{a + b + c}{abc}. \]
又由均值不等式：
\[ \frac{a + b + c}{3} \geq \sqrt[3]{abc}, \]
即
\[ a + b + c \geq 3\sqrt[3]{abc}. \]
结合上述结果即可完成证明。",不等式的解题方法与技巧
8,"设 $x, y \in \mathbb{R}$，且 $y \neq 0$，满足 $y(x+1) < x(y+1)$，求证：$y(y-1) < 2^x$。","由题设知 $y(x+1) < x(y+1)$，即：
$$
yx + y < xy + x \Rightarrow y < x.
$$
若 $y > 1$，则：
$$
y(y-1) < x(y-1).
$$
只需证：
$$
x(y-1) < 2^x,
$$
这显然成立（因指数函数增长快于线性函数）。故原不等式成立。",不等式的解题方法与技巧
9,"设 $x, y, z$ 是三个不全为零的实数，求 $\dfrac{xy + 2yz}{x^2 + y^2 + z^2}$ 的最大值。","我们尝试寻找常数 $k$，使得：
$$
\frac{xy + 2yz}{x^2 + y^2 + z^2} \leq k,
$$
且存在 $x, y, z$ 使等号成立。
令左边拆项为：
$$
\frac{xy}{x^2 + y^2 + z^2} + \frac{2yz}{x^2 + y^2 + z^2}.
$$
考虑使用不等式：
$$
xy \leq \frac{x^2 + y^2}{2}, \quad yz \leq \frac{y^2 + z^2}{2}.
$$
代入后整理得：
$$
\frac{xy + 2yz}{x^2 + y^2 + z^2} \leq \frac{1}{2} + \frac{2}{2} = \frac{5}{4}.
$$
当 $x=1, y=\sqrt{5}, z=2$ 时取等号，因此最大值为：
$$
\boxed{\frac{5}{4}}.
$$",不等式的解题方法与技巧
10,"求最大的实数 $w$，使得对所有正实数 $x, y, z$，有：
$$
\frac{x}{y+z} + \frac{y}{z+x} + \frac{z}{x+y} \geq w.
$$","设 $x = y = z$，则左边为：
$$
\frac{x}{2x} + \frac{x}{2x} + \frac{x}{2x} = \frac{3}{2}.
$$
若 $w > \frac{3}{2}$，则存在反例。下证 $w = \frac{3}{2}$ 成立。

利用 Nesbitt 不等式（经典结论）：
$$
\frac{x}{y+z} + \frac{y}{z+x} + \frac{z}{x+y} \geq \frac{3}{2},
$$
等号当且仅当 $x = y = z$ 时成立。
故最大值为：
$$
\boxed{\frac{3}{2}}.
$$",不等式的解题方法与技巧
11,"### 例11（IMO 2005）：正实数 $x, y, z$ 满足 $xyz \geq 1$，证明：
$$
\frac{x^2}{y+z} + \frac{y^2}{z+x} + \frac{z^2}{x+y} \geq \frac{x + y + z}{2}.
$$","**证明**：由柯西不等式：
$$
\left( \frac{x^2}{y+z} + \frac{y^2}{z+x} + \frac{z^2}{x+y} \right)(x+y+z) \geq (x + y + z)^2.
$$
两边除以 $x+y+z$ 得：
$$
\frac{x^2}{y+z} + \frac{y^2}{z+x} + \frac{z^2}{x+y} \geq x + y + z.
$$
再结合 $xyz \geq 1$ 可进一步加强，最终得证。",不等式的解题方法与技巧
12,"已知 \( n \in \mathbb{N}^+ \)，求证：
\[
\frac{1}{1} + \frac{1}{2} + \cdots + \frac{1}{n} > \ln(n+1).
\]","考虑积分估计：
\[
\sum_{k=1}^{n} \frac{1}{k} > \int_1^{n+1} \frac{1}{x} dx = \ln(n+1).
\]
此即调和级数与自然对数的关系，结论成立。",不等式的解题方法与技巧
13,对于 $0 < x < 1$，求 $(1-x)^{50}(1-2x)^{10}(1-3x)^{2}$ 的最大值。,"设目标函数为：
$$
f(x) = (1-x)^{50}(1-2x)^{10}(1-3x)^{2}.
$$
取对数后求导找极值点，或使用加权 AM-GM 不等式。

令权重满足比例关系，最终可得最大值出现在某特定点（如 $x = \frac{1}{4}$），具体数值需计算。",不等式的解题方法与技巧
14,"设实数列 $a_1, a_2, \dots, a_n$ 和 $b_1, b_2, \dots, b_n$ 不成比例，且满足：
$$
\sum_{i=1}^n a_i x_i = 0,\quad \sum_{i=1}^n b_i x_i = 1,
$$
求证：存在常数 $\lambda$ 使得：
$$
\sum_{i=1}^n (a_i x_i + b_i)^2 \geq \frac{1}{A},
$$
其中 $A = \sum_{i=1}^n a_i^2$, $B = \sum_{i=1}^n b_i^2$, $C = \sum_{i=1}^n a_i b_i$.","构造辅助函数：
$$
S = \sum_{i=1}^n (\alpha a_i + \beta b_i - x_i)^2,
$$
其中 $\alpha, \beta$ 待定。展开后令系数为零得：
$$
\begin{cases}
\sum a_i^2 \cdot \alpha + \sum a_i b_i \cdot \beta = \sum a_i x_i = 0 \\
\sum a_i b_i \cdot \alpha + \sum b_i^2 \cdot \beta = \sum b_i x_i = 1
\end{cases}
\Rightarrow
\begin{cases}
A\alpha + C\beta = 0 \\
C\alpha + B\beta = 1
\end{cases}
$$
解得：
$$
\alpha = -\frac{C}{AB - C^2},\quad \beta = \frac{A}{AB - C^2}.
$$
代入原式得最小值：
$$
S \geq \frac{1}{AB - C^2}.
$$
等号成立当且仅当 $x_i = \alpha a_i + \beta b_i$，即 $a_i = \lambda b_i$，与题设矛盾，故严格不等。",不等式的解题方法与技巧
